No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
27,Rudy Gobert,C,7-1,258,"June 26, 1992",frFR,11,,MIN
10,Mike Conley,PG,6-0,175,"October 11, 1987",usUS,17,Ohio State,MIN
30,Julius Randle,PF,6-9,250,"November 29, 1994",usUS,10,Kentucky,MIN
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",usUS,6,Villanova,MIN
4,Rob Dillingham,PG,6-1,176,"January 4, 2005",usUS,R,Kentucky,MIN
8,Josh Minott,SF,6-8,205,"November 25, 2002",usUS,2,Memphis,MIN
55,Luka Garza,C,6-10,235,"December 27, 1998",usUS,3,Iowa,MIN
00,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",usUS,R,"Texas Tech,Illinois",MIN
22,Jaylen Clark,SG,6-5,205,"October 13, 2001",usUS,R,UCLA,MIN
7,Joe Ingles,SF,6-8,220,"October 2, 1987",auAU,10,,MIN
33,Leonard Miller,SF,6-10,210,"November 26, 2003",caCA,1,,MIN
13,Tristen Newton(TW),SG,6-5,190,"April 26, 2001",usUS,R,"East Carolina University,UConn",MIN
14,Jesse Edwards(TW),C,6-11,230,"March 18, 2000",nlNL,R,"West Virginia,Syracuse",MIN
,Bones Hyland(TW),PG,6-2,173,"September 14, 2000",usUS,3,VCU,MIN
21,Yves Missi,C,6-11,235,"May 14, 2004",beBE,R,Baylor,NOP
3,CJ McCollum,PG,6-3,190,"September 19, 1991",usUS,11,Lehigh,NOP
50,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",usUS,3,Villanova,NOP
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",usUS,3,"Rice University,Virginia",NOP
24,Jordan Hawkins,SG,6-5,195,"April 29, 2002",usUS,1,UConn,NOP
11,Brandon Boston Jr.,SG,6-7,185,"November 28, 2001",usUS,3,Kentucky,NOP
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",usUS,3,Georgia Tech,NOP
5,Dejounte Murray,PG,6-5,180,"September 19, 1996",usUS,7,Washington,NOP
12,Antonio Reeves,SG,6-5,205,"November 20, 2000",usUS,R,"Illinois State,Kentucky",NOP
1,Zion Williamson,PF,6-6,284,"July 6, 2000",usUS,4,Duke,NOP
17,Karlo MatkoviÄ,PF,6-11,231,"March 30, 2001",baBA,R,,NOP
8,Jamal Cain(TW),SF,6-7,191,"March 20, 1999",usUS,2,"Marquette,Oakland",NOP
2,Herbert Jones,SF,6-8,210,"October 6, 1998",usUS,3,Alabama,NOP
00,Bruce Brown,PG,6-4,202,"August 15, 1996",usUS,6,Miami (FL),NOP
13,Kelly Olynyk,C,6-11,240,"April 19, 1991",caCA,11,Gonzaga,NOP
0,Keion Brooks Jr.(TW),SF,6-7,210,"August 7, 2000",usUS,R,"Kentucky,Washington",NOP
,Lester QuiÃ±ones(TW),SG,6-5,208,"November 16, 2000",usUS,2,Memphis,NOP
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",usUS,6,Villanova,NYK
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",usUS,6,Villanova,NYK
3,Josh Hart,SG,6-4,215,"March 6, 1995",usUS,7,Villanova,NYK
8,OG Anunoby,PF,6-7,232,"July 17, 1997",gbGB,7,Indiana,NYK
1,Cameron Payne,PG,6-3,183,"August 8, 1994",usUS,9,Murray State,NYK
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",usUS,9,Kentucky,NYK
2,Miles McBride,PG,6-2,200,"September 8, 2000",usUS,3,West Virginia,NYK
5,Precious Achiuwa,C,6-8,225,"September 19, 1999",ngNG,4,Memphis,NYK
44,Landry Shamet,SG,6-4,190,"March 13, 1997",usUS,6,Wichita State,NYK
13,Tyler Kolek,PG,6-1,195,"March 27, 2001",usUS,R,"George Mason,Marquette",NYK
55,Ariel Hukporti,C,7-0,246,"April 11, 2002",deDE,R,,NYK
4,Pacome Dadiet,SG,6-7,210,"July 27, 2005",frFR,R,,NYK
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",usUS,6,Western Kentucky,NYK
0,Delon Wright,PG,6-5,185,"April 26, 1992",usUS,9,Utah,NYK
,Kevin McCullar Jr.(TW),SF,6-6,210,"March 15, 2001",usUS,R,"Texas Tech,Kansas",NYK
,Anton Watson(TW),SF,6-8,225,"October 6, 2000",usUS,R,Gonzaga,NYK
,MarJon Beauchamp(TW),SF,6-6,199,"October 12, 2000",usUS,2,Yakima Valley Community College,NYK
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",usUS,3,Maryland,OKC
2,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",caCA,6,Kentucky,OKC
8,Jalen Williams,SG,6-6,220,"April 14, 2001",usUS,2,Santa Clara,OKC
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",caCA,5,Arizona State,OKC
11,Isaiah Joe,SG,6-5,181,"July 2, 1999",usUS,4,Arkansas,OKC
22,Cason Wallace,SG,6-4,205,"November 7, 2003",usUS,1,Kentucky,OKC
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",usUS,6,TCU,OKC
55,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",usUS,6,,OKC
9,Alex Caruso,SG,6-5,186,"February 28, 1994",usUS,7,Texas A&M,OKC
3,Dillon Jones,SF,6-5,240,"October 29, 2001",usUS,R,Weber State,OKC
25,Ajay Mitchell,SG,6-5,200,"June 25, 2002",beBE,R,UC Santa Barbara,OKC
6,Jaylin Williams,PF,6-8,250,"June 29, 2002",usUS,2,Arkansas,OKC
13,Ousmane Dieng,C,6-10,222,"May 21, 2003",frFR,2,,OKC
14,Adam Flagler(TW),SG,6-3,195,"December 1, 1999",usUS,1,"Presbyterian College,Baylor",OKC
15,Branden Carlson(TW),C,7-0,220,"June 14, 1999",usUS,R,Utah,OKC
7,Chet Holmgren,C,7-1,213,"May 1, 2002",usUS,1,Gonzaga,OKC
88,Alex Ducas(TW),SG,6-6,222,"December 11, 2000",auAU,R,Saint Mary's,OKC
,Nikola TopiÄ,PG,6-6,201,"August 10, 2005",rsRS,R,,OKC
3,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",usUS,11,Georgia,ORL
0,Anthony Black,PG,6-7,198,"January 20, 2004",usUS,1,Arkansas,ORL
23,Tristan Da Silva,SF,6-8,217,"May 15, 2001",deDE,R,Colorado,ORL
50,Cole Anthony,PG,6-2,185,"May 15, 2000",usUS,4,UNC,ORL
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",usUS,5,Florida State,ORL
35,Goga Bitadze,C,6-11,250,"July 20, 1999",geGE,5,,ORL
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",usUS,6,Duke,ORL
13,Jett Howard,SF,6-8,215,"September 14, 2003",usUS,1,Michigan,ORL
22,Franz Wagner,SF,6-10,225,"August 27, 2001",deDE,3,Michigan,ORL
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",caCA,2,Michigan,ORL
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",usUS,3,Gonzaga,ORL
10,Cory Joseph,PG,6-2,200,"August 20, 1991",caCA,13,Texas,ORL
14,Gary Harris,SG,6-4,210,"September 14, 1994",usUS,10,Michigan State,ORL
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",usUS,2,Duke,ORL
21,Moritz Wagner,C,6-11,245,"April 26, 1997",deDE,6,Michigan,ORL
12,Trevelin Queen(TW),SG,6-6,190,"February 25, 1997",usUS,3,"College of Marin,New Mexico Military Institute,New Mexico State",ORL
8,Mac McClung(TW),SG,6-2,185,"January 6, 1999",usUS,2,"Georgetown,Texas Tech",ORL
,Ethan Thompson(TW),SG,6-5,195,"May 4, 1999",usUS,R,Oregon State,ORL
9,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",usUS,9,Kansas,PHI
28,Guerschon Yabusele,C,6-8,260,"December 17, 1995",frFR,2,,PHI
14,Ricky Council IV,SF,6-6,205,"August 3, 2001",usUS,1,"Wichita State,Arkansas",PHI
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",usUS,4,Kentucky,PHI
30,Adem Bona,C,6-10,235,"March 28, 2003",ngNG,R,UCLA,PHI
8,Paul George,PF,6-8,220,"May 2, 1990",usUS,14,Fresno State,PHI
23,Eric Gordon,SG,6-3,215,"December 25, 1988",usUS,16,Indiana,PHI
"1, 5",Andre Drummond,C,6-11,279,"August 10, 1993",usUS,12,UConn,PHI
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",usUS,18,Villanova,PHI
11,Jeff Dowtin(TW),PG,6-3,185,"May 10, 1997",usUS,3,Rhode Island,PHI
19,Justin Edwards,SF,6-6,203,"December 16, 2003",usUS,R,Kentucky,PHI
20,Jared McCain,SG,6-2,195,"February 20, 2004",usUS,R,Duke,PHI
21,Joel Embiid,C,7-0,280,"March 16, 1994",cmCM,8,Kansas,PHI
5,Quentin Grimes,SG,6-5,205,"May 8, 2000",usUS,3,"Kansas,Houston",PHI
12,Jared Butler,SG,6-3,195,"August 25, 2000",usUS,3,Baylor,PHI
16,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",usUS,6,Miami (FL),PHI
65,Alex Reese(TW),PF,6-9,245,"May 21, 1999",usUS,R,Alabama,PHI
,Jalen Hood-Schifino(TW),SG,6-6,215,"June 19, 2003",usUS,1,Indiana,PHI
21,Tyus Jones,PG,6-1,196,"May 10, 1996",usUS,9,Duke,PHO
22,Mason Plumlee,C,6-10,254,"March 5, 1990",usUS,11,Duke,PHO
1,Devin Booker,SG,6-6,206,"October 30, 1996",usUS,9,Kentucky,PHO
00,Royce O'Neale,SF,6-4,226,"June 5, 1993",usUS,7,"Denver,Baylor",PHO
0,Ryan Dunn,SF,6-6,216,"January 7, 2003",usUS,R,Virginia,PHO
8,Grayson Allen,SG,6-4,198,"October 8, 1995",usUS,6,Duke,PHO
35,Kevin Durant,PF,6-11,240,"September 29, 1988",usUS,16,Texas,PHO
3,Bradley Beal,SG,6-4,207,"June 28, 1993",usUS,12,Florida,PHO
4,Oso Ighodaro,PF,6-10,235,"July 14, 2002",usUS,R,Marquette,PHO
23,Monte Morris,PG,6-2,183,"June 27, 1995",usUS,7,Iowa State,PHO
11,Bol Bol,PF,7-3,220,"November 16, 1999",sdSD,5,Oregon,PHO
2,Nick Richards,C,7-0,245,"November 29, 1997",jmJM,4,Kentucky,PHO
10,Damion Lee,SG,6-5,210,"October 21, 1992",usUS,6,"Drexel,Louisville",PHO
12,Collin Gillespie(TW),PG,6-1,195,"June 25, 1999",usUS,1,Villanova,PHO
14,TyTy Washington Jr.(TW),PG,6-3,197,"November 15, 2001",usUS,2,Kentucky,PHO
15,Jalen Bridges(TW),SF,6-8,225,"May 14, 2001",usUS,R,"West Virginia,Baylor",PHO
18,Vasilije MiciÄ,PG,6-5,200,"January 13, 1994",rsRS,1,,PHO
,Cody Martin,SF,6-5,205,"September 28, 1995",usUS,5,"NC State,Nevada",PHO
33,Toumani Camara,PF,6-8,220,"May 8, 2000",beBE,1,Dayton,POR
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",usUS,6,,POR
8,Deni Avdija,SF,6-9,210,"January 3, 2001",ilIL,4,,POR
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",caCA,2,Kentucky,POR
00,Scoot Henderson,PG,6-3,202,"February 3, 2004",usUS,1,,POR
24,Kris Murray,SF,6-8,220,"August 19, 2000",usUS,1,Iowa,POR
5,Dalano Banton,PG,6-9,204,"November 7, 1999",caCA,3,Nebraska,POR
23,Donovan Clingan,C,7-2,280,"February 23, 2004",usUS,R,UConn,POR
34,Jabari Walker,SF,6-9,215,"July 30, 2002",usUS,2,Colorado,POR
9,Jerami Grant,PF,6-7,210,"March 12, 1994",usUS,10,Syracuse,POR
21,Rayan Rupert,SG,6-6,205,"May 31, 2004",frFR,1,,POR
2,Deandre Ayton,C,7-0,250,"July 23, 1998",bsBS,6,Arizona,POR
26,Duop Reath,C,6-11,245,"June 26, 1996",ssSS,1,"Lee College,LSU",POR
35,Robert Williams,C,6-9,237,"October 17, 1997",usUS,6,Texas A&M,POR
11,Bryce McGowens(TW),SG,6-7,179,"November 8, 2002",usUS,2,Nebraska,POR
10,Justin Minaya(TW),SF,6-5,210,"March 26, 1999",usUS,2,,POR
91,Sidy Cissoko(TW),SF,6-8,200,"April 2, 2004",frFR,1,,POR
,Matisse Thybulle,SG,6-5,201,"March 4, 1997",usUS,5,Washington,POR
23,Keon Ellis,SG,6-6,175,"January 8, 2000",usUS,2,"Florida SouthWestern State College,Alabama",SAC
13,Keegan Murray,PF,6-8,215,"August 19, 2000",usUS,2,Iowa,SAC
10,DeMar DeRozan,SF,6-6,220,"August 7, 1989",usUS,15,USC,SAC
11,Domantas Sabonis,C,6-10,240,"May 3, 1996",usUS,8,Gonzaga,SAC
0,Malik Monk,SG,6-3,200,"February 4, 1998",usUS,7,Kentucky,SAC
41,Trey Lyles,PF,6-9,234,"November 5, 1995",caCA,9,Kentucky,SAC
7,Doug McDermott,SF,6-6,225,"January 3, 1992",usUS,10,Creighton,SAC
"3, 17",Isaac Jones(TW),PF,6-8,245,"July 11, 2000",usUS,R,"Wenatchee Valley College,Idaho,Washington State",SAC
22,Devin Carter,PG,6-2,195,"March 18, 2002",usUS,R,"South Carolina,Providence",SAC
8,Zach LaVine,SG,6-5,200,"March 10, 1995",usUS,10,UCLA,SAC
17,Jonas ValanÄiÅ«nas,C,6-11,265,"May 6, 1992",ltLT,12,,SAC
33,Jake LaRavia,PF,6-8,235,"November 3, 2001",usUS,2,"Indiana State University,Wake Forest",SAC
15,Mason Jones(TW),SG,6-4,200,"July 21, 1998",usUS,3,"Connors State College,Arkansas",SAC
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",usUS,7,Washington,SAC
99,Jae Crowder,PF,6-6,235,"July 6, 1990",usUS,12,Marquette,SAC
24,Isaiah Crawford(TW),SF,6-6,220,"November 1, 2001",usUS,R,Louisiana Tech,SAC
25,Skal LabissiÃ¨re,PF,6-10,235,"March 18, 1996",htHT,4,Kentucky,SAC
40,Harrison Barnes,PF,6-8,225,"May 30, 1992",usUS,12,UNC,SAS
30,Julian Champagnie,SF,6-8,220,"June 29, 2001",usUS,2,St. John's,SAS
3,Chris Paul,PG,6-0,175,"May 6, 1985",usUS,19,Wake Forest,SAS
5,Stephon Castle,PG,6-6,215,"November 1, 2004",usUS,R,UConn,SAS
0,Keldon Johnson,SF,6-5,220,"October 11, 1999",usUS,5,Kentucky,SAS
1,Victor Wembanyama,C,7-3,235,"January 4, 2004",frFR,1,,SAS
24,Devin Vassell,SG,6-5,200,"August 23, 2000",usUS,4,Florida State,SAS
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",usUS,2,Baylor,SAS
54,Sandro Mamukelashvili,PF,6-11,240,"May 23, 1999",usUS,3,Seton Hall,SAS
14,Blake Wesley,SG,6-5,185,"March 16, 2003",usUS,2,Notre Dame,SAS
22,Malaki Branham,SG,6-4,180,"May 12, 2003",usUS,2,Ohio State,SAS
28,Charles Bassey,C,6-10,235,"October 28, 2000",ngNG,3,Western Kentucky,SAS
4,De'Aaron Fox,PG,6-3,185,"December 20, 1997",usUS,7,Kentucky,SAS
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cdCD,13,,SAS
11,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",usUS,5,USC,SAS
7,David Duke Jr.(TW),SG,6-5,205,"October 13, 1999",usUS,3,Providence,SAS
55,Harrison Ingram(TW),SF,6-5,230,"November 27, 2002",usUS,R,"Stanford,UNC",SAS
27,Riley Minix(TW),SF,6-7,230,"September 22, 2000",usUS,R,"Southeastern University,Morehead State University",SAS
23,Jamal Shead,PG,6-0,200,"June 24, 2002",usUS,R,Houston,TOR
1,Gradey Dick,SG,6-6,205,"November 20, 2003",usUS,1,Kansas,TOR
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",usUS,2,Kansas,TOR
9,RJ Barrett,SF,6-6,214,"June 14, 2000",caCA,5,Duke,TOR
4,Scottie Barnes,PF,6-7,227,"August 1, 2001",usUS,3,Florida State,TOR
19,Jakob Poeltl,C,7-0,245,"October 15, 1995",atAT,8,Utah,TOR
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lcLC,7,"New Mexico Junior College,Northwest College,Oregon",TOR
2,Jonathan Mogbo,PF,6-9,225,"October 29, 2001",usUS,R,"Missouri State,San Francisco",TOR
14,Ja'Kobe Walter,SG,6-5,180,"September 4, 2004",usUS,R,Baylor,TOR
77,Jamison Battle,SF,6-7,220,"May 10, 2001",usUS,R,"George Washington,Minnesota,Ohio State",TOR
5,Immanuel Quickley,PG,6-3,190,"June 17, 1999",usUS,4,Kentucky,TOR
21,Orlando Robinson,C,7-0,235,"July 10, 2000",usUS,2,Fresno State,TOR
17,Garrett Temple,SG,6-5,195,"May 8, 1986",usUS,14,LSU,TOR
0,A.J. Lawson(TW),SG,6-6,179,"July 15, 2000",caCA,2,South Carolina,TOR
22,Ulrich Chomche(TW),PF,6-10,235,"December 30, 2005",cmCM,R,,TOR
8,Jared Rhoden(TW),SG,6-6,210,"August 27, 1999",usUS,2,Seton Hall,TOR
,Brandon Ingram,SF,6-8,190,"September 2, 1997",usUS,8,Duke,TOR
13,Isaiah Collier,PG,6-3,210,"October 8, 2004",usUS,R,USC,UTA
22,Kyle Filipowski,C,6-11,250,"November 7, 2003",usUS,R,Duke,UTA
3,Keyonte George,PG,6-4,185,"November 8, 2003",usUS,1,Baylor,UTA
28,Brice Sensabaugh,SF,6-6,235,"October 30, 2003",usUS,1,Ohio State,UTA
2,Collin Sexton,SG,6-3,190,"January 4, 1999",usUS,6,Alabama,UTA
24,Walker Kessler,C,7-0,245,"July 26, 2001",usUS,2,"UNC,Auburn",UTA
33,Johnny Juzang,SG,6-7,215,"March 17, 2001",usUS,2,"Kentucky,UCLA",UTA
23,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fiFI,7,Arizona,UTA
20,John Collins,PF,6-9,235,"September 23, 1997",usUS,7,Wake Forest,UTA
5,Cody Williams,SG,6-7,190,"November 20, 2004",usUS,R,Colorado,UTA
00,Jordan Clarkson,SG,6-3,194,"June 7, 1992",usUS,10,"Tulsa,Missouri",UTA
25,Micah Potter(TW),C,6-10,248,"April 6, 1998",usUS,3,"Ohio State,Wisconsin",UTA
19,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",uaUA,6,Kansas,UTA
16,Elijah Harkless(TW),SG,6-3,195,"February 3, 2000",usUS,R,"Cal State Northridge,Oklahoma,UNLV",UTA
99,KJ Martin,SF,6-6,215,"January 6, 2001",usUS,4,,UTA
34,Oscar Tshiebwe(TW),C,6-9,260,"November 27, 1999",cdCD,1,"West Virginia,Kentucky",UTA
11,Jaden Springer,PG,6-4,204,"September 25, 2002",usUS,3,Tennessee,UTA
0,Taylor Hendricks,PF,6-9,210,"November 22, 2003",usUS,1,Central Florida,UTA
8,Bub Carrington,PG,6-4,190,"July 21, 2005",usUS,R,Pitt,WAS
0,Bilal Coulibaly,SF,6-6,195,"July 26, 2004",frFR,1,,WAS
24,Corey Kispert,SF,6-7,220,"March 3, 1999",usUS,3,Gonzaga,WAS
18,Kyshawn George,SG,6-7,200,"December 12, 2003",chCH,R,Miami (FL),WAS
13,Jordan Poole,SG,6-4,194,"June 19, 1999",usUS,5,Michigan,WAS
20,Alex Sarr,C,7-0,205,"April 26, 2005",frFR,R,,WAS
9,Justin Champagnie,SF,6-6,200,"June 29, 2001",usUS,3,Pitt,WAS
16,Anthony Gill,PF,6-7,230,"October 17, 1992",usUS,4,"South Carolina,Virginia",WAS
15,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",usUS,8,Virginia,WAS
22,Richaun Holmes,PF,6-10,235,"October 15, 1993",usUS,9,Bowling Green,WAS
00,Tristan Vukcevic(TW),C,6-10,223,"March 11, 2003",itIT,1,,WAS
32,Khris Middleton,SF,6-7,222,"August 12, 1991",usUS,12,Texas A&M,WAS
36,Marcus Smart,PG,6-3,220,"March 6, 1994",usUS,10,Oklahoma State,WAS
5,AJ Johnson,SG,6-4,160,"December 1, 2004",usUS,R,,WAS
4,Jaylen Martin(TW),SF,6-6,216,"January 28, 2004",usUS,R,,WAS
,Colby Jones,SG,6-6,205,"May 28, 2002",usUS,1,Xavier,WAS
,Saddiq Bey,SF,6-7,215,"April 9, 1999",usUS,4,Villanova,WAS
,JT Thor(TW),PF,6-10,205,"August 26, 2002",usUS,3,Auburn,WAS
